player,passes,carries,shots,xg,pressures,recoveries,shot_assists,final_third_passes,final_third_carries,total_actions
Granit Xhaka,3299,2771,44.0,1.5709195790000001,309.0,191,41.0,1034.0,650.0,6614.0
Florian Wirtz,1841,1772,71.0,8.470831041,651.0,161,61.0,1007.0,992.0,4496.0
Alejandro Grimaldo García,2159,1662,71.0,5.2094820464,321.0,158,63.0,965.0,759.0,4371.0
Jonathan Tah,2167,1761,26.0,1.805862676,216.0,115,4.0,260.0,82.0,4285.0
Exequiel Alejandro Palacios,2022,1737,21.0,2.694171948,342.0,136,23.0,519.0,373.0,4258.0
Edmond Fayçal Tapsoba,1946,1659,12.0,1.009383082,201.0,136,6.0,368.0,161.0,3954.0
Jonas Hofmann,1528,1202,62.0,5.7091595225,544.0,92,69.0,781.0,621.0,3428.0
Robert Andrich,1501,1147,23.0,1.7017574875,252.0,89,19.0,356.0,197.0,3012.0
Odilon Kossonou,1422,1216,5.0,0.388186547,195.0,110,11.0,359.0,224.0,2948.0
Piero Martín Hincapié Reyna,1423,1181,18.0,1.888699798,210.0,55,4.0,292.0,192.0,2887.0
Jeremie Frimpong,1038,1019,56.0,8.7196621802,347.0,111,36.0,552.0,651.0,2571.0
Josip Stanišić,1072,906,10.0,0.789743592,180.0,80,12.0,324.0,243.0,2248.0
Lukáš Hrádecký,882,503,0.0,0.0,1.0,116,0.0,32.0,0.0,1502.0
Victor Okoh Boniface,391,526,81.0,15.9702154796,203.0,53,13.0,211.0,334.0,1254.0
Amine Adli,465,423,27.0,3.0851790930000003,271.0,38,17.0,237.0,249.0,1224.0
Nathan Tella,342,362,21.0,3.762631941,156.0,44,13.0,188.0,238.0,925.0
Patrik Schick,229,225,40.0,5.447158103,179.0,20,7.0,105.0,138.0,693.0
Adam Hložek,155,173,19.0,3.010453266,98.0,20,6.0,63.0,95.0,465.0
Arthur Augusto de Matos Soares,108,99,2.0,0.035233739,12.0,8,3.0,44.0,46.0,229.0
Nadiem Amiri,98,98,3.0,0.11274700800000001,23.0,4,1.0,42.0,44.0,226.0
Borja Iglesias Quintas,77,75,8.0,1.191540991,48.0,7,5.0,47.0,57.0,215.0
Gustavo Adolfo Puerta Molano,43,37,2.0,0.075595362,21.0,2,1.0,11.0,7.0,105.0
Noah Mbamba,19,26,1.0,0.04667749,6.0,3,0.0,9.0,14.0,55.0
Matěj Kovář,17,13,0.0,0.0,0.0,2,0.0,0.0,0.0,32.0
