player,passes,carries,shots,xg,pressures,recoveries,shot_assists,final_third_passes,final_third_carries,total_actions,passes_share,carries_share,shots_share,xg_share,pressures_share,recoveries_share,shot_assists_share,final_third_passes_share,final_third_carries_share,attacking_dependency,possession_dependency,defensive_dependency
Florian Wirtz,1841,1772,71.0,8.470831041,651.0,161,61.0,1007.0,992.0,4496.0,7.593631413958092,8.604865731073666,11.396468699839486,11.652516705262563,13.60217300459674,9.194745859508851,14.698795180722893,12.900333077120163,15.58033610805717,13.707995267790697,8.09924857251588,11.398459432052796
Alejandro Grimaldo García,2159,1662,71.0,5.2094820464,321.0,158,63.0,965.0,759.0,4371.0,8.905296155749877,8.070703637158259,11.396468699839486,7.166189040677076,6.707062264939406,9.023415191319247,15.180722891566264,12.362285421470663,11.920841840741323,11.657509798613832,8.487999896454067,7.865238728129326
Jonas Hofmann,1528,1202,62.0,5.7091595225,544.0,92,69.0,781.0,621.0,3428.0,6.302590331628444,5.8369348807847325,9.951845906902086,7.853547826292913,11.366485582950272,5.254140491147916,16.626506024096386,10.005124263387138,9.753416051515627,11.059648541323018,6.069762606206588,8.310313037049093
Jeremie Frimpong,1038,1019,56.0,8.7196621802,347.0,111,36.0,552.0,651.0,2571.0,4.281471704339218,4.9482833972709175,8.98876404494382,11.994810040153022,7.2503134141245305,6.33923472301542,8.674698795180722,7.071483474250577,10.224595570912518,9.49139697012421,4.614877550805067,6.794774068569975
Granit Xhaka,3299,2771,44.0,1.5709195790000001,309.0,191,41.0,1034.0,650.0,6614.0,13.607490513116646,13.45602874763269,7.062600321027287,2.160964673751841,6.4563309653155025,10.908052541404912,9.879518072289157,13.246220855751986,10.20888958693262,8.873898297181402,13.531759630374669,8.682191753360208
Victor Okoh Boniface,391,526,81.0,15.9702154796,203.0,53,13.0,211.0,334.0,1254.0,1.612770169938954,2.55426601272277,13.001605136436597,21.96870670208918,4.241537818637693,3.026841804683038,3.132530120481928,2.7030489367153474,5.245798649285378,8.262521102142959,2.083518091330862,3.6341898116603657
Exequiel Alejandro Palacios,2022,1737,21.0,2.694171948,342.0,136,23.0,519.0,373.0,4258.0,8.340207886487379,8.434905064827854,3.3707865168539324,3.7061161388970003,7.145842039281238,7.766990291262135,5.542168674698795,6.648731744811684,5.858332024501335,5.438837145727204,8.387556475657616,7.456416165271687
Amine Adli,465,423,27.0,3.0851790930000003,271.0,38,17.0,237.0,249.0,1224.0,1.9180003299785513,2.054096052056524,4.333868378812198,4.2439874843336876,5.662348516506477,2.1701884637350086,4.096385542168675,3.036126056879324,3.910790010994189,3.821822273593969,1.9860481910175376,3.9162684901207427
Robert Andrich,1501,1147,23.0,1.7017574875,252.0,89,19.0,356.0,197.0,3012.0,6.191222570532915,5.569853833827029,3.6918138041733553,2.340945942071163,5.265357292101964,5.08280982295831,4.578313253012048,4.560594414552908,3.094078844039579,3.6434831134189247,5.880538202179972,5.174083557530137
Nathan Tella,342,362,21.0,3.762631941,156.0,44,13.0,188.0,238.0,925.0,1.4106583072100314,1.7578788908852523,3.3707865168539324,5.175894943016252,3.2595068951107398,2.5128498001142203,3.132530120481928,2.4084037919549064,3.738024187215329,3.613713260667104,1.584268599047642,2.8861783476124803
Patrik Schick,229,225,40.0,5.447158103,179.0,20,7.0,105.0,138.0,693.0,0.9445636033657813,1.0926042830087894,6.420545746388442,7.493137389259116,3.740075219389887,1.1422044545973729,1.6867469879518073,1.345119139123751,2.167425789225695,3.1731073263900926,1.0185839431872854,2.44113983699363
Josip Stanišić,1072,906,10.0,0.789743592,180.0,80,12.0,324.0,243.0,2248.0,4.421712588681736,4.3995532462487255,1.6051364365971106,1.086375156594752,3.760969494358546,4.568817818389491,2.891566265060241,4.15065334358186,3.8165541071148104,2.9862872180879156,4.410632917465231,4.164893656374018
Odilon Kossonou,1422,1216,5.0,0.388186547,195.0,110,11.0,359.0,224.0,2948.0,5.865368751031183,5.904919147283057,0.8025682182985553,0.5339913170008994,4.074383618888425,6.28212450028555,2.6506024096385543,4.599026389956444,3.5181404114967805,2.8254401320231697,5.88514394915712,5.178254059586988
Piero Martín Hincapié Reyna,1423,1181,18.0,1.888699798,210.0,55,4.0,292.0,192.0,2887.0,5.86949348292361,5.734958481037246,2.889245585874799,2.5981047008137375,4.387797743418304,3.141062250142775,0.9638554216867471,3.740712272610812,3.0155489241400972,2.579555329812848,5.802225981980428,3.7644299967805397
Edmond Fayçal Tapsoba,1946,1659,12.0,1.009383082,201.0,136,6.0,368.0,161.0,3954.0,8.026728262662926,8.056135580051475,1.9261637239165328,1.3885123157439223,4.199749268700376,7.766990291262135,1.4457831325301205,4.714322316167051,2.5286634207633107,2.519320296301101,8.041431921357201,5.983369779981256
Jonathan Tah,2167,1761,26.0,1.805862676,216.0,115,4.0,260.0,82.0,4285.0,8.938294010889292,8.551449521682125,4.173354735152488,2.4841535497107494,4.513163393230255,6.5676756139348935,0.9638554216867471,3.3307712016397644,1.2878906863515,2.0166677148471903,8.744871766285709,5.540419503582575
Lukáš Hrádecký,882,503,0.0,0.0,1.0,116,0.0,32.0,0.0,1502.0,3.6380135291206073,2.4425775749040937,0.0,0.0,0.020894274968658588,6.624785836664763,0.0,0.4099410709710479,0.0,0.10248526774276198,3.0402955520123505,3.322840055816711
